source_file,period,rows,kW_mean,kW_median,Meter 1 kWh_mean,Meter 1 kWh_median,Outdoor Air Temperature Entering Condenser (F)_mean,Outdoor Air Temperature Entering Condenser (F)_median,Chilled Water Flow Rate (GPM)_mean,Chilled Water Flow Rate (GPM)_median
597 lift baseline.csv,baseline,2854,52.590337118791176,49.728064435,42375.13625621233,42383.795635,81.20600860733006,80.465642855,273.7755657470918,274.4092732
597 lift post.csv,post,2760,41.12254191213043,32.395961295,278522.6397201812,278485.20715000003,86.5454171976884,86.40885714000001,226.9540874644529,243.74846925
